QUEENS
70-35113,70-35 113,TH STREET
70-35150,70-35 150,TH ST
70-44,70-44 ,KISSENA BLVD
7-1837,7-18 37,TH AVE
72-09,72-09 ,MAIN STREET
72-10,72-10 ,BEACH CHANNEL DRIVE
73-38,73-38 ,COOPER AVENUE
73-38,73-38 ,COOPER AVENUE
73-38,73-38 ,COOPER AVENUE
74-01,74-01 ,ELIOT AVENUE
74-01,74-01 ,ELIOT AVENUE
74-01,74-01 ,ELIOT AVENUE
74-21,74-21 ,QUEENS BLVD
74-21,74-21 ,QUEENS BLVD
750731,7507 31,ST AVE
75-09,75-09 ,NORTHERN BLVD AND 75-19 NORTHERN BLVD
751668,7516 68,TH AVE
75-41,75-41 ,YELLOWSTONE BLVD
75-41,75-41 ,YELLOWSTONE BLVD
75-41,75-41 ,YELLOWSTONE BLVD
75-41,75-41 ,YELLOWSTONE BLVD
7559188,7559 188 ,ST
75-59263,75-59 263,RD ST
77-11,77-11 ,ROOSEVELT AVE
77-30,77-30 ,MAIN ST
77-33,77-33 ,QUEENS BLVD
77-40,77-40 ,HEWLETT ST
78-1531,78-15 31,ST AVE
81-50,81-50 ,UTOPIA AVE
8213166,8213 166 ,TH STREET
82-15,82-15 ,QUEENS BLVD
82-24242,82-24 242,ND ST
85-0124,85-01 24,TH AVENUE
85-05,85-05 ,ASTORIA BLVD
85-05,85-05 ,ASTORIA BLVD
85-05,85-05 ,ASTORIA BLVD
86-45178,86-45 178,TH STREET
87-10,87-10 ,NORTHERN BOULEVARD
87-10,87-10 ,NORTHERN BOULEVARD
87-20,87-20 ,QUEENS BLVD
87-36,87-36 ,LEFFERTS BLVD
87-36,87-36 ,LEFFERTS BLVD
87-36,87-36 ,LEFFERTS BLVD
88-55161,88-55 161,ST
89,89 ,JOHN STREET.     SUBSTATION
89-30,89-30 ,COOPER AVENUE
90-02,90-02 ,QUEENS BLVD
9-03,9-03 ,THRU 9-21 44TH ROAD
90-71,90-71 ,PITKIN AVE
920,920 ,WINCHESTER BLVD
9242212,9242 212 ,PLACE
93-02,93-02 ,ATLANTIC AVENUE
9307241,9307 241 ,ST
94-20,94-20 ,GUY R BREWER BLVD
95-10,95-10 ,DITMARS BLVD
96-10,96-10 ,CORONA AVE
96-27,96-27 ,QUEENS BLVD
97-11,97-11 ,NORTHERN BLVD
98-02,98-02 ,NORTHERN BLVD
98-02,98-02 ,NORTHERN BLVD
98-40,98-40 ,CHRISTIE AVE
1,1 ,BEACH 105TH ST
100-17,100-17 ,BEACH CHANNEL DRIVE
10-2044,10-20 44,RD
10-2044,10-20 44,TH RD
10-2044,10-20 44,TH RD
10-2044,10-20 44,TH RD
102-3265,102-32 65,TH AVE
104-04,104-04 ,ROCKAWAY BLVD
10-5551,10-55 51,ST AVENUE
106-0632,106-06 32 ,AVE
108-09159,108-09 159,TH STREET
108-2048,108-20 48,TH AVENUE
10820,10820 ,ROCKAWAY BEACH BLVD
109-29192,109-29 192 ,ST
11-05154,11-05 154,TH ST
111-27135,111-27 135,TH ST
112-44,112 -44 ,ROOSEVELT AVE
112-12,112-12 ,ASTORIA BOULEVARD
113-21,113-21 ,ROCKAWAY BLVD
114-02,114-02 ,VAN WYCK EXPRESSWAY
115-20158,115-20 158,TH ST
116-30200,116-30 200,TH ST
117-04,117-04 ,ROCKAWAY BOULEVARD
117-07,117-07 ,GUY BREWER BLVD
117-07,117-07 ,GUY BREWER BLVD
117-07,117-07 ,GUY BREWER BLVD
118,118 ,DWAYNE RD
118-01,118-01 ,ROCKAWAY BLVD
118-0983,118-09 83,RD AVE
119-40227,119-40  227,TH STREET
11,11,TH ST & 38TH AVE
11,11,TH ST & 41ST RD
11,11,TH ST & 43RD RD
11,11,TH ST & 46TH AVE
11,11,TH ST / 38TH AVE
11,11,TH ST / 38TH AVE
11,11,TH ST BTWN 37TH & 38TH AVES.
11,11,TH ST/38TH AVE
11,11,TH ST/QUEENS PLAZA S
120-1531,120-15 31,ST AVE
120-1531,120-15 31,ST AVENUE
120-1531,120-15 31,ST AVENUE
12-0238,12-02 38,TH AVENUE
122-04,122-04 ,TO 122-06 MERRICK BLVD
12-23,12-23 ,JACKSON AVENUE
123,123 ,DUANE RD
124-0614,124 -06 14,TH AVE
124-1528,124-15 28,TH AVE
124-1531,124-15 31,ST AVE
124-1531,124-15 31,ST AVE
126-82,126 - 82 ,WILLETS POINT BLVD
127-12,127-12 ,ATLANTIC AVE
128-36,128-36 ,ROCKAWAY BLVD
129-2018,129 - 20 18,TH AVE
129-1118,129-11 18,TH AVE
12,12,TH ST & 40TH AVE
12,12,TH ST & 40TH AVE
12,12,TH ST / 41ST AVE
12,12,TH ST/47TH AVE
1300209,1300 209,TH ST
130-23150,130-23 150,TH AVENUE
130-23150,130-23 150,TH AVENUE
130,130,TH ST AND 90TH AVE
131-07,131-07 ,MERRICK BLVD
131-07,131-07 ,MERRICK BLVD
134-15,134-15 ,CROSS BAY BLVD
134-2535,134-25 35,TH AVENUE
13-46,13-46 ,BEACH CHANNEL DRIVE
135-45,135-45 ,CROSS BAY BLVD
135,135,TH ST/P S 116
137-21,137-21 ,LIBERTY AV
137-23230,137-23 230 ,ST
137-3091,137-30 91,ST AVE
137-3091,137-30 91,ST AVE
137-3191,137-31 91,ST AVENUE
137-3191,137-31 91,ST AVENUE
1378,1378 ,EGGERT PLACE
138-50,138-50 ,HILLSIDE AVENUE
139-16,139-16 ,GLASSBORO AVE
140-06,140-06 ,FARMERS BLVD
141-54,141-54 ,NORTHERN BLVD
141-54,141-54 ,NORTHERN BLVD
141-54,141-54 ,NORTHERN BLVD
142-0220,142-02 20,TH AVE
142-25,142-25 ,PERSHING CRESCENT
144-6741,144 - 67 41,ST AVE
144-07,144 -07 ,SANFORD AVE
144-3191,144 -31 91,ST AVE
144-27105,144-27 105 ,AVE
14-45143,14-45 143,RD ST
145-01101,145-01 101,ST AVE
145-55,145-55 ,GUY BREWER BLVD
145-55,145-55 ,GUY BREWER BLVD
147,147,TH  AVE
149-1014,149-10 14,TH AVE
149-1014,149-10 14,TH AVE
149-23182,149-23 182,ND ST
150-17,150-17 ,CROSS ISLAND PKWY
150-17,150-17 ,CROSS ISLAND PKWY
150-17,150-17 ,CROSS ISLAND PKWY
150-17,150-17 ,CROSS ISLAND PKWY
15-04149,15-04 149,TH STREET
151-0582,151-05 82,ND ST
151-11,151-11   ,AVE/CLINTVILLE STREET
152-06,152-06 ,NORTHERN BLVD
153-95,153-95 ,ROCKAWAY BLVD
154,154 ,BEACH 84 ST
154-09,154-09 ,UNION TNPK
154-21,154-21 ,BROAD STREET
154-21,154-21 ,BROAD STREET
154-21,154-21 ,BROAD STREET
154-21,154-21 ,BROAD STREET
15511,15511 ,LIBERTY AVE
155-11,155-11 ,LIBERTY AVE
155-11,155-11 ,LIBERTY AVE
155-17,155-17 ,LIBERTY AVE
158-01,158-01 ,ROCKAWAY BOULEVARD
161-1546,161-15 46,TH AVENUE
165-14119,165-14 119,TH AVE
165-18,165-18 ,SOUTH RD
1661-1679,1661-1679 ,SUMMERFIELD ST
167-02,167-02 ,BAISLEY BOULEVARD
17-10,17-10 ,STEINWAY STREET
17-17,17-17 ,HAZEN STREET
175-33,175-33 ,HORACE HARDING EXP
177-19106,177-19 106,TH AVE
177-20106,177-20 106 ,AVE
178-02,178-02 ,UNION TURNPIKE
178-50,178-50 ,LINDEN BLVD
180120,1801 20 ,AVE
18-0120,18-01 20,TH AVE
18-0120,18-01 20,TH AVENUE
18-0120,18-01 20,TH AVENUE
18-0120,18-01 20,TH AVENUE
18-0120,18-01 20,TH AVENUE
18-0120,18-01 20,TH AVENUE
18-0120,18-01 20,TH AVENUE
18-0120,18-01 20,TH AVENUE
18-0120,18-01 20,TH AVENUE
18-0120,18-01 20,TH AVENUE
18-10,18-10 ,UTOPIA PARKWAY
181-04,181-04 ,UNION TURNPIKE
181-08,181-08 ,HORACE HARDING EXPWY
181-08,181-08 ,HORACE HARDING EXPWY
181-08,181-08 ,HORACE HARDING EXPWY
181-08,181-08 ,HORACE HARDING EXPWY
182-30,182 -30 ,LIBERTY AVE
18-3341,18-33 41,ST ST
184-17,184-17 ,HORACE HARDING EXP
18-48,18-48 ,CORNAGA AVENUE
187-11,187-11 ,JAMAICA AVE
188-06,188-06 ,HILLSIDE AVENUE
19-19,19-19 ,HAZEN STREET
1937,1937 ,FLUSHING AVE
19-4142,19-41 42,ND STREET
19-4142,19-41 42,ND STREET
19-4142,19-41 42,ND STREET
195-44,195-44 ,WOODHULL AVENUE
199-02,199-02 ,UNION TURNPIKE
19,19,TH DRIVE AND 21ST ST
20,20 ,CONTINENTAL AVE
20,20 ,CONTINENTAL AVE
20-0119,20-01 19,TH STREET
20-0131,20-01 31,ST STREET
20-0131,20-01 31,ST STREET
2002131,20021 31,TH AVENUE
20-05,20-05 ,SHORE BLVD
202-06,202-06 ,HILLSIDE AVE
202-06,202-06 ,THRU 202-16 HILLSIDE AVE
209-01/35,209-01/35 ,NORTHERN BLVD
20,20,TH & 21ST STREET
20,20,TH & 21ST STREET
20,20,TH AV & 21ST ST
20,20,TH AVE & 21ST ST
20,20,TH AVE & 21ST ST
20,20,TH AVE & 21ST ST
20,20,TH AVE & 31ST ST
20,20,TH AVE & 31TH ST
20,20,TH AVE 31ST ST
20,20,TH AVENUE & 21ST STREET
20,20,TH AVENUE & 21ST STREET
20,20,TH AVENUE & 21ST STREET
20,20,TH AVENUE & 21ST STREET
20,20,TH AVENUE & 21ST STREET
20,20,TH AVENUE & 31ST STREET
20,20,TH AVENUE 31ST STREET
20,20,TH AVENUE AT 21ST STREE
20,20,TH AVENUE/21ST STREET
20,20,TH AVENUE/31ST STREET
21,21 ,STREET  &  41 AVENUE
210,210 ,EAST 8TH RD
211-52,211-52 ,JAMAICA AVE
21-17,21-17 ,JACKSON AVE
212-01,212-01 ,HILLSIDE AVE
213527,2135 27,TH ST
214-3842,214-38 42,ND AVE
218-40100,218-40 100 ,AVE
219-02,219-02 ,HORACE HARDING
219-25,219-25 ,MERRICK BOULEVARD
21,21,AVE AND 41ST
21,21,ST ST & 20TH AVENUE
21,21,ST ST & 38TH AVE
21,21,ST ST & 38TH AVE
21,21,ST ST & 38TH AVE
21,21,ST ST & 41ST AVE
21,21,ST ST BET 38TH & 39TH AVE
21,21,ST ST BET 39TH & 40TH AVE
21,21,ST ST/38TH & 39TH ST
21,21,ST ST/38TH AVE
21,21,ST STREET
21,21,ST STREET & 41ST AVE
21,21,ST STREET / 35TH AVENUE
21,21,ST STREET N/O 40TH AVE
22-0741,22-07 41,ST AVENUE
22-0939,22-09 39 ,AVE
22-0939,22-09 39,TH AVE
22-0939,22-09 39,TH AVENUE
22-0939,22-09 39,TH AVENUE
220939,2209 39,TH ST
22-09,22-09 ,QUEENS PLAZA NORTH
223-20,223-20 ,BRADDOCK AVE
223-43114,223-43 114,TH RD
224-01,224-01 ,NORTH CONDUIT AVE
226142,2261 42,ND ST
228-14138,228-14 138,TH AVE
22,22,ND ST S/O 37TH AVE
23-01,23-01 ,QUEENS PLAZA SOUTH
23-01,23-01 ,QUEENS PLAZA SOUTH
23-10,23-10 ,QUEENS PLAZA SOUTH
231-06,231-06 ,NORTHERN BLVD
232-17,232-17 ,MERRICK BLVD
234-22,234-22 ,MERRICK BOULEVARD
234-22,234-22 ,MERRICK BOULEVARD
23-44102,23-44 102 ,ST
2385,2385 ,Dickens St
2404,240 4,TH ST
240-01,240-01 ,NEW HALL AVE
241-15,241-15 ,HILLSIDE AVENUE
241-15,241-15 ,HILLSIDE AVENUE
242-02,242-02 ,DOUGLASTON PKWY
245-20139,245-20 139,TH AVE
24-6149,24-61 49,TH STREET
2501,2501 ,JACKSON AVE
25-1741,25-17 41,ST AVE
25-1741,25-17 41,ST AVE
260-0179,260-01 79,TH AVE
26-27,26-27 ,COLLEGE PT BLVD
26-401,26-40 1,ST ST
268-1081,268-10 81,ST AVE
27-01,27-01 ,JACKSON AVE
27-1049,27-10 49 ,AVE
28-0141,28-01 41,ST ST
28-11,28-11 ,COLLEGE POINT BOULEVARD
28-11,28-11 ,QUEENS PLAZA NORTH
3,3 ,RAILROAD PLACE
3,3 ,RAILROAD PLACE
3,3 ,RAILROAD PLACE
3,3 ,RAILROAD PLACE
30-25,30-25 ,GREENPOINT AVE
30-25,30-25 ,GREENPOINT AVE
30-27,30-27 ,GREENPOINT AVE
30-49,30-49 ,CRESCENT STREET
30-5879,30-58 79,TH ST
30-7521,30-75 21,ST ST
30,30,TH AVE & 21 ST
31,31 ,ST AND 20TH AVE
31,31 ,ST ST/20TH AV
3100120,31001 20,TH AVENUE
3100120,31001 20,TH AVENUE
3100120,31001 20,TH AVENUE
31-0120,31-01 20 ,AVE
31-0120,31-01 20 ,AVE
31-0120,31-01 20 ,AVENUE
31-0120,31-01 20 ,AVENUE
31-0120,31-01 20 ,AVENUE
31-0120,31-01 20 ,AVENUE
31-0120,31-01 20 ,AVENUE
31-0120,31-01 20 ,AVENUE
31-0120,31-01 20 ,AVENUE
31-0120,31-01 20 ,AVENUE
31-0120,31-01 20 ,AVENUE
31-0120,31-01 20 ,AVENUE
31-0120,31-01 20 ,AVENUE
31-0120,31-01 20 ,AVENUE
31-0120,31-01 20 ,AVENUE
31-0120,31-01 20 ,AVENUE
31-0120,31-01 20 ,AVENUE
310120,3101 20,TH AV
310120,3101 20,TH AVE
310120,3101 20,TH AVE
31-0120,31-01 20,TH AVE
31-0120,31-01 20,TH AVE
31-0120,31-01 20,TH AVE
31-0120,31-01 20,TH AVE
31-0120,31-01 20,TH AVE
31-0120,31-01 20,TH AVE
31-0120,31-01 20,TH AVE
31-0120,31-01 20,TH AVE
31-0120,31-01 20,TH AVE
31-0120,31-01 20,TH AVE
31-0120,31-01 20,TH AVE
31-0120,31-01 20,TH AVE
31-0120,31-01 20,TH AVENUE
31-0120,31-01 20,TH AVENUE
31-0120,31-01 20,TH AVENUE
31-0120,31-01 20,TH AVENUE
31-0120,31-01 20,TH AVENUE
31-0120,31-01 20,TH AVENUE
31-0120,31-01 20,TH AVENUE
31-0120,31-01 20,TH AVENUE
31-0120,31-01 20,TH AVENUE
31-0120,31-01 20,TH AVENUE
31-0120,31-01 20,TH AVENUE
31-0120,31-01 20,TH AVENUE
31-0120,31-01 20,TH AVENUE
31-0120,31-01 20,TH AVENUE
31012,3101 2,OTH AVE
31-0220,31-02 20,TH AVE
310220,3102 20,TH AVENUE
31-0320,31-03 20,TH AVENUE
31-0320,31-03 20,TH AVENUE
31-06,31-06 ,FARRINGTON ST
31-1620,31-16 20,TH AVENUE
31-25,31-25 ,DOWNING STREET
3150138,3150 138,TH ST
31,31,ST ST & 20TH AVENUE
31,31,ST STREET & 20TH AVENUE
31,31,ST STREET & 20TH AVENUE
31,31,ST STREET AND 20TH AVE
31,31,ST STREET AT 20TH AVENUE
32-02,32-02 ,LINDEN PL
32-11,32-11 ,HARPER STREET
32-32,32-32 ,QUEENS BLVD
32-35,32-35 ,LINDEN PL
32-35,32-35 ,LINDEN PL
32-50,32-50 ,HUNTERS POINT AVE
3269,3269 ,GALE AVE
3269,3269 ,GALE AVE
3269,3269 ,GALE AVE
33-1747,33-17 47,TH AVENUE
34-09,34 -09 ,COLLEGE POINT BLVD
34-149,34-14 9,TH ST
34-1531,34-15 31,ST AVE
34-17,34-17 ,NORTHERN BLVD
34-2032,34-20 32,ND ST
34-2121,34-21 21,ST ST
34-2121,34-21 21,ST ST
34-2121,34-21 21,ST ST
3424208,3424 208,TH ST
34-2582,34-25 82,ND ST-JACKSON HTS
34-4393,34-43 93,RD STREET
34-4393,34-43 93,RD STREET
34-44,34-44 ,STEINWAY ST
34-51,34-51 ,BELL BLVD
34-51,34-51 ,BELL BLVD
34-58,34-58 ,VERNON BL
34-58,34-58 ,VERNON BLVD
34-58,34-58 ,VERNON BOULVARD  - PURS
34-58,34-58 ,VERNON BOULVARD  PURS
35,35 ,TH  AVE AND VERNON BLVD
35,35 ,VERNON BLVD
350,350 ,BEACH 54TH ST
350,350 ,BEACH 54TH ST
35-10150,35-10 150,TH STREET
35-11105,35-11 105,TH STREET
35-32,35-32 ,COLLEGE POINT BLVD
35-44159,35-44 159,TH STREET
35-4581,35-45 81,ST ST
35-58,35-58 ,VERNON BLVD
35-58,35-58 ,VERNON BLVD
35-58,35-58 ,VERNON BLVD
35-58,35-58 ,VERNON BLVD
35-58,35-58 ,VERNON BLVD
35-58,35-58 ,VERNON BLVD
35-58,35-58 ,VERNON BLVD
35-58,35-58 ,VERNON BLVD
35-58,35-58 ,VERNON BLVD.
357,357 ,BEACH 79TH STREET
35,35,TH AVE/VERNON BLVD
360-08,360-08 ,REVIEW AVE
36-11,36-11 ,NORTHERN BLVD
3619201,3619 201,ST ST
36,36,TH AVE & VERNON BLVD
36,36,TH AVENUE/VERNON BLVD
37-0227,37-02 27,TH ST AND 37TH AVE
37-2132,37-21 32,ND ST
37-4421,37-44 21,ST STREET
37-98,37-98 ,RAILROAD AVE
37,37,TH AVE BETWEEN 59TH AND 60TH ST
38-20,38 -20 ,REVIEW AVE
38-1131,38-11 31 ,ST
38-50,38-50 ,REVIEW AVE
38-50,38-50 ,REVIEW AVE
38-50,38-50 ,REVIEW AVE
38-54,38-54 ,RAILROAD AVE
38-54,38-54 ,VERNEN BLVD
3854,3854 ,VERNON BLVD
3854,3854 ,VERNON BLVD
3854,3854 ,VERNON BLVD
3854,3854 ,VERNON BLVD
3854,3854 ,VERNON BLVD
38-54,38-54 ,VERNON BLVD
38-54,38-54 ,VERNON BLVD
38-54,38-54 ,VERNON BLVD
38-54,38-54 ,VERNON BLVD
38-54,38-54 ,VERNON BLVD
38-54,38-54 ,VERNON BLVE
38-54,38-54 ,VERNON BOULEVARD
38-54,38-54 ,VERNON BOULEVARD
38-54,38-54 ,VERNON BOULEVARD
38-54,38-54 ,VERNON BOULEVARD
38-54,38-54 ,VERNON BOULEVARD
38-58,38-58 ,VERNON BLVD
38-60,38-60 ,REVIEW AVE
38-70,38-70 ,REVIEW AVE
38-78,38-78 ,REVIEW AVE
38-84,38-84 ,RAILROAD AVE
38,38,TH AVE & 10TH ST
38,38,TH AVE AND 11TH ST
39-6552,39 -65 52 ,ST
39-04,39-04 ,NORTHERN BLVD
39-14,39-14 ,REVIEW AVE
3929,3929 ,HONEYWELL ST
39-30,39-30 ,REVIEW AVE
40009,40009 ,VERNON BLVD
4022221,4022 221,ST
40-3624,40-36 24,TH STREET
40-3723,40-37 23,RD ST
40,40,TH AVE & 13TH ST
40,40,TH AVE & VERNON BLVD
40,40,TH AVENUE & VERNON BLVD
40,40,TH RD /COLLAGE POINT BLVD
41-0123,41-01 23,RD STREET
41-40,41-40 ,PARSONS BLVD
41-40,41-40 ,UNION ST
42,42 ,WEST 12TH RD
42-0221,42-02 21,ST
421994,4219 94,TH ST
42-20,42-20 ,VERNON BLVD
422274,4222 74,TH STREET
423,423 ,BEACH 123RD ST
42-5024,42-50 24,TH STREET
43-53,43-53 ,MAIN STREET
4-4044,4-40 44,TH DRIVE
44-02,44-02 ,VERNON BLVD
44-36,44-36 ,VERNON BLVD
44,44,TH ROAD AND 24TH ST
45-1644,45- 16  44,TH ST
4500,4500 ,PARSON BLVD
45-10,45-10 ,BOWNE ST
45-1182,45-11 82,ND STREET
451333,4513 33,RD ST
45-2439,45-24 39,th pl
45-41,45-41 ,BERRIAN BLVD
45-70202,45-70 202,ND ST
4600,4600 ,METROLPOLITAN AVE
46-01108,46-01 108,TH STREET
46-02,46-02 ,VERNON BLVD
4611108,4611 108,TH ST
46-3021,46-30 21,ST ST
47-03108,47-03 108,TH ST
47-03108,47-03 108,TH ST
47-03108,47-03 108,TH ST
47-05,47-05 ,METROPOLITAN AVE
47-2030,47-20 30,TH ST
49-01,49-01 ,VAN DAM STREET
49-01,49-01 ,VAN DAM STREET
49-01,49-01 ,VAN DAM STREET
49-21,49-21 ,METROPOLITAN AVE
49-21,49-21 ,METROPOLITAN AVE
49-21,49-21 ,QUEENS BLVD
50-11,50-11 ,QUEENS BLVD
5-02,5-02 ,BORDEN AVENUE
50-24,50-24 ,QUEENS BLVD
50-24,50-24 ,QUEENS BLVD
50-24,50-24 ,QUEENS BLVD
50-35,50-35 ,NORTHERN BLVD
505,505 ,BEACH 129TH ST
51-01,51-01 ,NORTHERN BLVD
5115,5115 ,BEACH CHANNEL DRIVE
51-18,51-18 ,GRAND AVE
5-1746,5-17 46,TH RD
5-2046,5-20 46,TH ROAD
52-0931,52-09 31,ST PLACE
5-2146,5-21 46,TH RD
52-3558,52-35 58,TH ST
52-3558,52-35 58,TH STREET
5-2946,5-29 46,TH AVE
53-21,53-21 ,BEACH CHANNEL DR
53-4999,53-49 99,TH ST
53-4999,53-49 99,TH ST
5-3746,5-37 46,TH AVE
5-3846,5-38 46 ,AVE
5-4646,5-46 46,TH AVE
5-4750,5-47 50,TH AVENUE
55-7047,55-70 47,TH STREET
56-06,56-06 ,COOPER AVE
56-07214,56-07 214,TH ST
56-15,56-15 ,QUEENS BLVD
56-20,56-20 ,GRAND AVE
56-20,56-20 ,GRAND AVE
57,57 ,AVE
57,57,TH AVE/43RD ST
58-01,58-01 ,NORTHERN BLVD
58-01,58-01 ,NORTHERN BLVD
58-01,58-01 ,NORTHERN BLVD
58-0376,58-03 76,TH ST
58-5057,58-50 57,TH ROAD
58-5057,58-50 57,TH ROAD
58-7353,58-73 53,RD AVE
58-7454,58-74 54,TH STREET
59-12,59-12 ,FRESH POND ROAD
59-12,59-12 ,FRESH POND ROAD
59-12,59-12 ,FRESH POND ROAD
5,5,TH ST & 47TH AVE
60-01/60-07,60-01 / 60-07 ,NORTHERN BLVD
60-01/60-07,60-01 / 60-07 ,NORTHERN BLVD
60-90,60-90 ,ELIOT AVE
60-90,60-90 ,ELIOT AVE
61-19,61-19 ,FRESHMEADOW LANE
61-20,61-20 ,FRESH MEADOW LANE
61-60,61-60 ,woodhaven blvd
63-07,63-07 ,BROADWAY
63-07,63-07 ,BROADWAY
63-25,63-25 ,MAIN ST
64-02,64-02 ,CATALPA AVENUE
64-35102,64-35 102,ND ST
65-10,65-10 ,QUEENS BLVD
65-10,65-10 ,QUEENS BLVD
67-69,67-69 ,WOODHAVEN BLVD
67-69,67-69 ,WOODHAVEN BLVD
680,680 ,CEDAR GROVE AVE
680,680 ,CEDAR GROVE AVE
68-09,68-09 ,QUEENS BLVD
68-09,68-09 ,QUEENS BLVD
68-29,68-29 ,WOODHAVEN BLVD
68-29,68-29 ,WOODHAVEN BLVD
69-02,69-02 ,NORTHERN BLVD
69-02,69-02 ,QUEENS BOULEVARD
69-02,69-02 ,QUEENS BOULEVARD
70-10164,70-10 164,TH ST
70-2173,70-21 73,RD PLACE
70-35113,70-35 113,TH STREET
70-35150,70-35 150,TH ST
70-44,70-44 ,KISSENA BLVD
7-1837,7-18 37,TH AVE
72-09,72-09 ,MAIN STREET
72-10,72-10 ,BEACH CHANNEL DRIVE
73-38,73-38 ,COOPER AVENUE
73-38,73-38 ,COOPER AVENUE
73-38,73-38 ,COOPER AVENUE
74-01,74-01 ,ELIOT AVENUE
74-01,74-01 ,ELIOT AVENUE
74-01,74-01 ,ELIOT AVENUE
74-21,74-21 ,QUEENS BLVD
74-21,74-21 ,QUEENS BLVD
750731,7507 31,ST AVE
75-09,75-09 ,NORTHERN BLVD AND 75-19 NORTHERN BLVD
751668,7516 68,TH AVE
75-41,75-41 ,YELLOWSTONE BLVD
75-41,75-41 ,YELLOWSTONE BLVD
75-41,75-41 ,YELLOWSTONE BLVD
75-41,75-41 ,YELLOWSTONE BLVD
7559188,7559 188 ,ST
75-59263,75-59 263,RD ST
77-11,77-11 ,ROOSEVELT AVE
77-30,77-30 ,MAIN ST
77-33,77-33 ,QUEENS BLVD
77-40,77-40 ,HEWLETT ST
78-1531,78-15 31,ST AVE
81-50,81-50 ,UTOPIA AVE
8213166,8213 166 ,TH STREET
82-15,82-15 ,QUEENS BLVD
82-24242,82-24 242,ND ST
85-0124,85-01 24,TH AVENUE
85-05,85-05 ,ASTORIA BLVD
85-05,85-05 ,ASTORIA BLVD
85-05,85-05 ,ASTORIA BLVD
86-45178,86-45 178,TH STREET
87-10,87-10 ,NORTHERN BOULEVARD
87-10,87-10 ,NORTHERN BOULEVARD
87-20,87-20 ,QUEENS BLVD
87-36,87-36 ,LEFFERTS BLVD
87-36,87-36 ,LEFFERTS BLVD
87-36,87-36 ,LEFFERTS BLVD
88-55161,88-55 161,ST
89,89 ,JOHN STREET.     SUBSTATION
89-30,89-30 ,COOPER AVENUE
90-02,90-02 ,QUEENS BLVD
9-03,9-03 ,THRU 9-21 44TH ROAD
90-71,90-71 ,PITKIN AVE
920,920 ,WINCHESTER BLVD
9242212,9242 212 ,PLACE
93-02,93-02 ,ATLANTIC AVENUE
9307241,9307 241 ,ST
94-20,94-20 ,GUY R BREWER BLVD
95-10,95-10 ,DITMARS BLVD
96-10,96-10 ,CORONA AVE
96-27,96-27 ,QUEENS BLVD
97-11,97-11 ,NORTHERN BLVD
98-02,98-02 ,NORTHERN BLVD
98-02,98-02 ,NORTHERN BLVD
98-40,98-40 ,CHRISTIE AVE
1,1 ,BEACH 105TH ST
100-17,100-17 ,BEACH CHANNEL DRIVE
10-2044,10-20 44,RD
10-2044,10-20 44,TH RD
10-2044,10-20 44,TH RD
10-2044,10-20 44,TH RD
102-3265,102-32 65,TH AVE
104-04,104-04 ,ROCKAWAY BLVD
10-5551,10-55 51,ST AVENUE
106-0632,106-06 32 ,AVE
108-09159,108-09 159,TH STREET
108-2048,108-20 48,TH AVENUE
10820,10820 ,ROCKAWAY BEACH BLVD
109-29192,109-29 192 ,ST
11-05154,11-05 154,TH ST
111-27135,111-27 135,TH ST
112-44,112 -44 ,ROOSEVELT AVE
112-12,112-12 ,ASTORIA BOULEVARD
113-21,113-21 ,ROCKAWAY BLVD
114-02,114-02 ,VAN WYCK EXPRESSWAY
115-20158,115-20 158,TH ST
116-30200,116-30 200,TH ST
117-04,117-04 ,ROCKAWAY BOULEVARD
117-07,117-07 ,GUY BREWER BLVD
117-07,117-07 ,GUY BREWER BLVD
117-07,117-07 ,GUY BREWER BLVD
118,118 ,DWAYNE RD
118-01,118-01 ,ROCKAWAY BLVD
118-0983,118-09 83,RD AVE
119-40227,119-40  227,TH STREET
11,11,TH ST & 38TH AVE
11,11,TH ST & 41ST RD
11,11,TH ST & 43RD RD
11,11,TH ST & 46TH AVE
11,11,TH ST / 38TH AVE
11,11,TH ST / 38TH AVE
11,11,TH ST BTWN 37TH & 38TH AVES.
11,11,TH ST/38TH AVE
11,11,TH ST/QUEENS PLAZA S
120-1531,120-15 31,ST AVE
120-1531,120-15 31,ST AVENUE
120-1531,120-15 31,ST AVENUE
12-0238,12-02 38,TH AVENUE
122-04,122-04 ,TO 122-06 MERRICK BLVD
12-23,12-23 ,JACKSON AVENUE
123,123 ,DUANE RD
124-0614,124 -06 14,TH AVE
124-1528,124-15 28,TH AVE
124-1531,124-15 31,ST AVE
124-1531,124-15 31,ST AVE
126-82,126 - 82 ,WILLETS POINT BLVD
127-12,127-12 ,ATLANTIC AVE
128-36,128-36 ,ROCKAWAY BLVD
129-2018,129 - 20 18,TH AVE
129-1118,129-11 18,TH AVE
12,12,TH ST & 40TH AVE
12,12,TH ST & 40TH AVE
12,12,TH ST / 41ST AVE
12,12,TH ST/47TH AVE
1300209,1300 209,TH ST
130-23150,130-23 150,TH AVENUE
130-23150,130-23 150,TH AVENUE
130,130,TH ST AND 90TH AVE
131-07,131-07 ,MERRICK BLVD
131-07,131-07 ,MERRICK BLVD
134-15,134-15 ,CROSS BAY BLVD
134-2535,134-25 35,TH AVENUE
13-46,13-46 ,BEACH CHANNEL DRIVE
